,Date,Momentum,Volatility,Volume Change,Return,Next Return
0,2025-01-10,-0.005747816583279252,0.012237570367193761,0.6399868186420543,-0.024103853223164884,-0.010344044246003103
1,2025-01-13,-0.007414728631585455,0.012168501482741727,-0.19575472080296996,-0.010344044246003103,-0.004778187243388077
2,2025-01-14,-0.009718162232761784,0.009648633872813893,-0.20542527105199004,-0.004778187243388077,0.01967593011248736
3,2025-01-15,-0.0035054382221790803,0.01612932257041866,0.010059515205919523,0.01967593011248736,-0.04040020244637099
4,2025-01-16,-0.011990071409287938,0.022423958093968098,0.8015439847358907,-0.04040020244637099,0.0075352329557774045
5,2025-01-17,-0.0056622541734994815,0.022614282170050556,-0.045580281803980216,0.0075352329557774045,-0.031915767244250715
6,2025-01-21,-0.009976598773149003,0.025592396214096255,0.43192924922943043,-0.031915767244250715,0.005344873292606023
7,2025-01-22,-0.007951986665950183,0.026491091563122845,-0.3461176868861553,0.005344873292606023,-0.0007594645528145039
8,2025-01-23,-0.012039065599010556,0.022427779909240785,-0.06068785915339214,-0.0007594645528145039,-0.00393458811566294
9,2025-01-24,-0.0047459427328689465,0.015869794523949998,-0.09192194545345878,-0.00393458811566294,0.03178030226598594
10,2025-01-27,0.0001030711291727604,0.022766071977721493,0.7343152113700893,0.03178030226598594,0.036543881024106994
11,2025-01-28,0.013795000782844302,0.018964163967791027,-0.2019303545940795,0.036543881024106994,0.0046169383555663135
12,2025-01-29,0.01364941379543636,0.019047862461784738,-0.39918713576972453,0.0046169383555663135,-0.007394750956832841
13,2025-01-30,0.012322356514632694,0.02047998991201875,0.22363315386458726,-0.007394750956832841,-0.006692258213703006
14,2025-01-31,0.01177082249502468,0.021056271766781133,0.8139217331467186,-0.006692258213703006,-0.03385595001477659
15,2025-02-03,-0.0013564279611278263,0.02546205946663607,-0.27631294832200537,-0.03385595001477659,0.021007923869700296
16,2025-02-04,-0.004463619392009166,0.02005444780981346,-0.38317458970509133,0.021007923869700296,-0.0014175665292441852
17,2025-02-05,-0.005670520368971266,0.019546498196741487,-0.12086368608725173,-0.0014175665292441852,0.0032262256341100137
18,2025-02-06,-0.003546325050782695,0.019886430402381337,-0.24469779380771983,0.0032262256341100137,-0.023968793125519916
19,2025-02-07,-0.007001632033146077,0.021962268961114195,0.32687725770501874,-0.023968793125519916,0.0011873766168293276
20,2025-02-10,7.033293175107147e-06,0.01604418548735214,-0.16600515775476488,0.0011873766168293276,0.02183172846903836
21,2025-02-11,0.00017179421304271968,0.016315695936113407,0.622147869886096,0.02183172846903836,0.01827025237193891
22,2025-02-12,0.004109357993279339,0.018112936075232716,-0.15776903258473818,0.01827025237193891,0.01967327176214928
23,2025-02-13,0.007398767218887192,0.01936277509059138,0.1850174500975834,0.01967327176214928,0.012710545112279759
24,2025-02-14,0.014734634866447128,0.008289822201824266,-0.23721185285214152,0.012710545112279759,-0.000531435586585971
25,2025-02-18,0.014390872425764067,0.008997478069832192,0.19381507328309233,-0.000531435586585971,0.0016361523213930251
26,2025-02-19,0.010351757196235,0.00934829842224632,-0.3403819960059399,0.0016361523213930251,0.0039204764503546485
27,2025-02-20,0.007481802011918148,0.008471102731496082,0.0034995435377993545,0.0039204764503546485,-0.0011389704828973501
28,2025-02-21,0.003319353562908822,0.0056145842284515525,0.646117047117762,-0.0011389704828973501,0.006312360618159429
29,2025-02-24,0.0020397166640847564,0.003109279811513879,-0.035170891810502036,0.006312360618159429,-0.000242810694735085
30,2025-02-25,0.0020974416424549337,0.0030517589258960104,-0.06454962748215343,-0.000242810694735085,-0.0270401718834844
31,2025-02-26,-0.0036378231985205512,0.013431067998634484,-0.07455642499057558,-0.0270401718834844,-0.01273084535990976
32,2025-02-27,-0.006968087560573433,0.013149868869833875,-0.07381801159482915,-0.01273084535990976,0.0191318806316656
33,2025-02-28,-0.002913917337660843,0.017725154850693002,0.38100676490027596,0.0191318806316656,-0.01575430458284177
34,2025-03-03,-0.007327250377861083,0.01760034271678905,-0.16978396506279758,-0.01575430458284177,-0.008822393793806338
35,2025-03-04,-0.009043166997675333,0.01714943566107452,0.14017675483214642,-0.008822393793806338,-0.0008053362915595441
36,2025-03-05,-0.003796199879290363,0.01398864650483617,-0.12213256601998956,-0.0008053362915595441,-0.0017391939743134355
37,2025-03-06,-0.0015978696021710982,0.013066838059964255,-0.04355927466142684,-0.0017391939743134355,0.015892641540643737
38,2025-03-07,-0.0022457174203754705,0.011801122074227077,0.024423073517170435,0.015892641540643737,-0.04847957993043717
39,2025-03-10,-0.008790772489894549,0.023968548741013663,0.5575014695204177,-0.04847957993043717,-0.029189402587743385
40,2025-03-11,-0.01286417424868196,0.025647150989539423,0.05641920767241282,-0.029189402587743385,-0.017478704614326435
41,2025-03-12,-0.016198847913235337,0.024755724039577803,-0.17849177933577975,-0.017478704614326435,-0.03364367441753047
43,2025-03-14,-0.02212415742175613,0.025112103179446642,-0.02054317945910189,0.018170574441256804,0.0023888478320872597
44,2025-03-17,-0.011950471869251245,0.021858811991610647,-0.200210955020663,0.0023888478320872597,-0.006121523995937239
45,2025-03-18,-0.007336896150890016,0.0196316144470208,-0.11734139877770244,-0.006121523995937239,0.011989454375851194
46,2025-03-19,-0.0014432643528544896,0.020239677678419596,0.2816951197669706,0.011989454375851194,-0.0052964960518718796
47,2025-03-20,0.004226171320277227,0.010675283275391328,-0.10154379668072677,-0.0052964960518718796,0.019476937223347424
